species,red_list_url
Alosa macedonica,https://www.iucnredlist.org/species/905/13092853
Alosa maeotica,https://www.iucnredlist.org/species/906/13093182
Alosa immaculata,https://www.iucnredlist.org/species/907/13093654
Alosa alabamae,https://www.iucnredlist.org/species/908/3149565
Alouatta pigra,https://www.iucnredlist.org/species/914/17926000
Alouatta ululata,https://www.iucnredlist.org/species/918/190435652
Alouatta palliata ssp. aequatorialis,https://www.iucnredlist.org/species/919/17979025
Alouatta juara,https://www.iucnredlist.org/species/922/190422355
Alouatta palliata ssp. mexicana,https://www.iucnredlist.org/species/925/17978896
Alsodes barrioi,https://www.iucnredlist.org/species/928/79808332
Alsodes montanus,https://www.iucnredlist.org/species/929/79808437
Alsodes vanzolinii,https://www.iucnredlist.org/species/932/79808564
Alsophis antiguae,https://www.iucnredlist.org/species/939/71739009
Hypsirhynchus ater,https://www.iucnredlist.org/species/940/115053626
Alsophis rijgersmaei,https://www.iucnredlist.org/species/941/115053801
Alsophis rufiventris,https://www.iucnredlist.org/species/942/115053994
Alticola albicaudus,https://www.iucnredlist.org/species/948/22342817
Alticola argentatus,https://www.iucnredlist.org/species/949/115054150
Alticola barakshin,https://www.iucnredlist.org/species/950/22343139
Alticola lemminus,https://www.iucnredlist.org/species/951/115054300
Alticola macrotis,https://www.iucnredlist.org/species/952/115054407
Alticola montosa,https://www.iucnredlist.org/species/953/115054544
Alticola roylei,https://www.iucnredlist.org/species/954/115054678
Alticola semicanus,https://www.iucnredlist.org/species/955/115054839
Alticola stoliczkanus,https://www.iucnredlist.org/species/956/115054969
Alticola strelzowi,https://www.iucnredlist.org/species/958/115055112
Alticola tuvinicus,https://www.iucnredlist.org/species/959/22342594
Alytes muletensis,https://www.iucnredlist.org/species/977/89697685
Alytes dickhilleni,https://www.iucnredlist.org/species/979/89697540
Alzoniella hartwigschuetti,https://www.iucnredlist.org/species/980/13099938
Amanipodagrion gilliesi,https://www.iucnredlist.org/species/984/13100344
Ambassis agassizii,https://www.iucnredlist.org/species/1074/174776583
Ambassis elongata,https://www.iucnredlist.org/species/1075/123377611
Ambloplites cavifrons,https://www.iucnredlist.org/species/1078/498639
Troglichthys rosae,https://www.iucnredlist.org/species/1079/19032420
Amblyopsis spelaea,https://www.iucnredlist.org/species/1080/19034608
Amblyrhynchus cristatus,https://www.iucnredlist.org/species/1086/177552193
Neamblysomus gunningi,https://www.iucnredlist.org/species/1087/21283546
Neamblysomus julianae,https://www.iucnredlist.org/species/1089/21285354
Ambystoma lermaense,https://www.iucnredlist.org/species/1093/176771946
Ambystoma mexicanum,https://www.iucnredlist.org/species/1095/53947343
Ambystoma californiense,https://www.iucnredlist.org/species/1098/118971391
Ambystoma cingulatum,https://www.iucnredlist.org/species/1099/118971595
Ameca splendens,https://www.iucnredlist.org/species/1117/500918
Pholidoscelis polops,https://www.iucnredlist.org/species/1118/121643349
Pholidoscelis cineraceus,https://www.iucnredlist.org/species/1119/121639617
Pholidoscelis major,https://www.iucnredlist.org/species/1120/121642128
Ametrida centurio,https://www.iucnredlist.org/species/1137/115055683
Ammodillus imbellis,https://www.iucnredlist.org/species/1140/22410374
Ammodorcas clarkei,https://www.iucnredlist.org/species/1141/50181613
Ammospermophilus nelsoni,https://www.iucnredlist.org/species/1149/22251492
Ammotragus lervia,https://www.iucnredlist.org/species/1151/214430287
Amorphochilus schnablii,https://www.iucnredlist.org/species/1154/22070889
Amphidromus cognatus,https://www.iucnredlist.org/species/1167/72403299
Amphorella melampoides,https://www.iucnredlist.org/species/1170/86016278
Anabarilius polylepis,https://www.iucnredlist.org/species/1190/3313525
Anaecypris hispanica,https://www.iucnredlist.org/species/1199/3318827
Gogo brevibarbis,https://www.iucnredlist.org/species/1258/96189189
Ancharius fuscus,https://www.iucnredlist.org/species/1259/96227716
Ancylus ashangiensis,https://www.iucnredlist.org/species/1262/3366218
Andalgalomys olrogi,https://www.iucnredlist.org/species/1264/22376223
Andalgalomys pearsoni,https://www.iucnredlist.org/species/1265/115055819
Andinomys edax,https://www.iucnredlist.org/species/1271/115055921
Andrias japonicus,https://www.iucnredlist.org/species/1273/177177761
Fluvidona anodonta,https://www.iucnredlist.org/species/1291/3396669
Austropyrgus grampianensis,https://www.iucnredlist.org/species/1295/3401709
Fluvidona petterdi,https://www.iucnredlist.org/species/1296/3402733
Anhydrophryne rattrayi,https://www.iucnredlist.org/species/1301/511335
Anisomys imitator,https://www.iucnredlist.org/species/1307/115056040
Anisotremus moricandi,https://www.iucnredlist.org/species/1308/115056181
Anodontoides radiatus,https://www.iucnredlist.org/species/1312/3410830
Anolis roosevelti,https://www.iucnredlist.org/species/1319/18967413
Anomalopus mackayi,https://www.iucnredlist.org/species/1541/101742754
Anomalurus derbianus,https://www.iucnredlist.org/species/1550/115056429
Anomalurus pelii,https://www.iucnredlist.org/species/1551/22182941
Anomalurus pusillus,https://www.iucnredlist.org/species/1553/22183419
Anomochilus leonardi,https://www.iucnredlist.org/species/1555/727213
Anonymomys mindorensis,https://www.iucnredlist.org/species/1559/115056654
